Time,state,curr_node,dest_node,remaining_TOF,resources,capacity,buy_prem,sell_prem
63960,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
64020,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
64080,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
64140,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
64200,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
64260,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
64320,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
64380,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
64440,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
64500,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
64560,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
64620,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
64680,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
64740,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
64800,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
64860,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
64920,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
64980,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
65040,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
65100,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
65160,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
65220,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
65280,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
65340,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
65400,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
65460,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
65520,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
65580,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
65640,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
65700,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
65760,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
65820,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
65880,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
65940,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
66000,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
66060,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
66120,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
66180,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
66240,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
66300,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
66360,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
66420,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
66480,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
66540,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
66600,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
66660,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
66720,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
66780,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
66840,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
66900,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
66960,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
67020,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
67080,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
67140,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
67200,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
67260,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
67320,4,ISS,None,-0.46031481729687584,38.40993091121878,100,1,1
