Time,x,y,resources,capacity,ports_filled,buy_prem,sell_prem
42060,-21375.11955671881,-27714.694013231307,135.37499999999335,300.0,0,1,1
42120,-21214.427820693738,-27837.888794799757,135.35416666666,300.0,0,1,1
42180,-21053.026071743403,-27960.15188681125,135.33333333332666,300.0,0,1,1
42240,-20890.919711725823,-28081.479197315937,135.31249999999332,300.0,0,1,1
42300,-20728.114166081283,-28201.866665683014,135.29166666665998,300.0,0,1,1
42360,-20564.614883650698,-28321.310262736686,135.27083333332664,300.0,0,1,1
42420,-20400.42733649316,-28439.805990891095,135.2499999999933,300.0,0,1,1
42480,-20235.55701970299,-28557.349884283925,135.22916666665995,300.0,0,1,1
42540,-20070.009451225607,-28673.938008909365,135.2083333333266,300.0,0,1,1
42600,-19903.790171673038,-28789.56646274956,135.18749999999326,300.0,0,1,1
42660,-19736.904744138395,-28904.231375905318,135.16666666665992,300.0,0,1,1
42720,-19569.358754009638,-29017.92891072567,135.14583333332658,300.0,0,1,1
42780,-19401.15780878279,-29130.655261936165,135.12499999999324,300.0,0,1,1
42840,-19232.30753787406,-29242.40665676638,135.1041666666599,300.0,0,1,1
42900,-19062.81359243165,-29353.179355076096,135.08333333332655,300.0,0,1,1
42960,-18892.68164514649,-29462.969649480467,135.0624999999932,300.0,0,1,1
43020,-18721.91739006236,-29571.773865474195,135.04166666665986,300.0,0,1,1
43080,-18550.52654238545,-29679.5883615544,135.02083333332652,300.0,0,1,1
43140,-18378.5148382929,-29786.40952934257,134.99999999999318,300.0,0,1,1
43200,-18205.88803474102,-29892.233793705283,134.97916666665984,300.0,0,1,1
43260,-18032.65190927248,-29997.05761287387,134.9583333333265,300.0,0,1,1
43320,-17858.81225982293,-30100.877478562994,134.93749999999315,300.0,0,1,1
43380,-17684.374904527092,-30203.68991608798,134.9166666666598,300.0,0,1,1
43440,-17509.34568152384,-30305.49148448124,134.89583333332646,300.0,0,1,1
43500,-17333.73044876099,-30406.278776607287,134.87499999999312,300.0,0,1,1
43560,-17157.535083799175,-30506.048419276838,134.85416666665978,300.0,0,1,1
43620,-16980.765483615032,-30604.797073359765,134.83333333332644,300.0,0,1,1
43680,-16803.427564404057,-30702.52143389673,134.8124999999931,300.0,0,1,1
43740,-16625.527261382344,-30799.218230209914,134.79166666665975,300.0,0,1,1
43800,-16447.070528588167,-30894.884226012382,134.7708333333264,300.0,0,1,1
43860,-16268.063338682614,-30989.516219516445,134.74999999999307,300.0,0,1,1
43920,-16088.511682749593,-31083.111043540863,134.72916666665972,300.0,0,1,1
43980,-15908.421570095554,-31175.66556561673,134.70833333332638,300.0,0,1,1
44040,-15727.7990280481,-31267.17668809244,134.68749999999304,300.0,0,1,1
44100,-15546.650101754478,-31357.641348237274,134.6666666666597,300.0,0,1,1
44160,-15364.980853979185,-31447.0565183439,134.64583333332635,300.0,0,1,1
44220,-15182.797364900951,-31535.4192058298,134.624999999993,300.0,0,1,1
44280,-15000.105731909453,-31622.726453337316,134.60416666665967,300.0,0,1,1
44340,-14816.912069401022,-31708.975338832704,134.58333333332632,300.0,0,1,1
44400,-14633.22250857419,-31794.16297570389,134.56249999999298,300.0,0,1,1
44460,-14449.043197224426,-31878.286512857067,134.54166666665964,300.0,0,1,1
44520,-14264.380299538261,-31961.343134812207,134.5208333333263,300.0,0,1,1
44580,-14079.239995887207,-32043.330061797144,134.49999999999295,300.0,0,1,1
44640,-13893.62848262068,-32124.244549840758,134.4791666666596,300.0,0,1,1
44700,-13707.551971858813,-32204.083890864713,134.45833333332627,300.0,0,1,1
44760,-13521.016691284458,-32282.8454127741,134.43749999999292,300.0,0,1,1
44820,-13334.028883934661,-32360.52647954694,134.41666666665958,300.0,0,1,1
44880,-13146.594807991945,-32437.124491322305,134.39583333332624,300.0,0,1,1
44940,-12958.720736574622,-32512.63688448744,134.3749999999929,300.0,0,1,1
45000,-12770.412957526998,-32587.06113176346,134.35416666665955,300.0,0,1,1
45060,-12581.67777320891,-32660.39474228998,134.3333333333262,300.0,0,1,1
45120,-12392.521500284673,-32732.63526170853,134.31249999999287,300.0,0,1,1
45180,-12202.950469511869,-32803.78027224457,134.29166666665952,300.0,0,1,1
45240,-12012.971025529254,-32873.82739278858,134.27083333332618,300.0,0,1,1
45300,-11822.589526644602,-32942.77427897559,134.24999999999284,300.0,0,1,1
45360,-11631.812344621829,-33010.61862326373,134.2291666666595,300.0,0,1,1
45420,-11440.645864467628,-33077.35815501144,134.20833333332615,300.0,0,1,1
